image name [10006_resized], angle_normal : tensor([[-0.1428]], device='cuda:0'), angle_fog : tensor([[-0.7737]], device='cuda:0'), diff: 0.6309
image name [10017_resized], angle_normal : tensor([[-0.0840]], device='cuda:0'), angle_fog : tensor([[-0.8072]], device='cuda:0'), diff: 0.7232
image name [10028_resized], angle_normal : tensor([[0.0449]], device='cuda:0'), angle_fog : tensor([[-0.8008]], device='cuda:0'), diff: 0.8457
image name [10039_resized], angle_normal : tensor([[-0.0028]], device='cuda:0'), angle_fog : tensor([[-0.7712]], device='cuda:0'), diff: 0.7684
image name [1005_resized], angle_normal : tensor([[2.4600]], device='cuda:0'), angle_fog : tensor([[-0.4699]], device='cuda:0'), diff: 2.9300
image name [10060_resized], angle_normal : tensor([[-0.0073]], device='cuda:0'), angle_fog : tensor([[-0.7430]], device='cuda:0'), diff: 0.7356
image name [10071_resized], angle_normal : tensor([[-0.0179]], device='cuda:0'), angle_fog : tensor([[-0.7310]], device='cuda:0'), diff: 0.7131
image name [10082_resized], angle_normal : tensor([[0.0324]], device='cuda:0'), angle_fog : tensor([[-0.7822]], device='cuda:0'), diff: 0.8145
image name [10093_resized], angle_normal : tensor([[-0.0009]], device='cuda:0'), angle_fog : tensor([[-0.8404]], device='cuda:0'), diff: 0.8394
image name [10103_resized], angle_normal : tensor([[0.0061]], device='cuda:0'), angle_fog : tensor([[-0.7773]], device='cuda:0'), diff: 0.7834
image name [10114_resized], angle_normal : tensor([[-0.0166]], device='cuda:0'), angle_fog : tensor([[-0.8104]], device='cuda:0'), diff: 0.7938
image name [10125_resized], angle_normal : tensor([[-0.0154]], device='cuda:0'), angle_fog : tensor([[-0.8409]], device='cuda:0'), diff: 0.8255
image name [10136_resized], angle_normal : tensor([[-0.0078]], device='cuda:0'), angle_fog : tensor([[-0.8487]], device='cuda:0'), diff: 0.8409
image name [10147_resized], angle_normal : tensor([[-0.0037]], device='cuda:0'), angle_fog : tensor([[-0.7833]], device='cuda:0'), diff: 0.7796
image name [10158_resized], angle_normal : tensor([[0.0145]], device='cuda:0'), angle_fog : tensor([[-0.8079]], device='cuda:0'), diff: 0.8223
image name [10169_resized], angle_normal : tensor([[0.0203]], device='cuda:0'), angle_fog : tensor([[-0.8351]], device='cuda:0'), diff: 0.8554
image name [1018_resized], angle_normal : tensor([[1.4189]], device='cuda:0'), angle_fog : tensor([[-0.2457]], device='cuda:0'), diff: 1.6645
image name [10190_resized], angle_normal : tensor([[0.0074]], device='cuda:0'), angle_fog : tensor([[-0.8012]], device='cuda:0'), diff: 0.8086
image name [10200_resized], angle_normal : tensor([[0.0286]], device='cuda:0'), angle_fog : tensor([[-0.8406]], device='cuda:0'), diff: 0.8692
image name [10211_resized], angle_normal : tensor([[0.0239]], device='cuda:0'), angle_fog : tensor([[-0.8596]], device='cuda:0'), diff: 0.8835
image name [10222_resized], angle_normal : tensor([[0.0025]], device='cuda:0'), angle_fog : tensor([[-0.8432]], device='cuda:0'), diff: 0.8457
image name [10233_resized], angle_normal : tensor([[0.0078]], device='cuda:0'), angle_fog : tensor([[-0.7934]], device='cuda:0'), diff: 0.8012
image name [10244_resized], angle_normal : tensor([[0.0226]], device='cuda:0'), angle_fog : tensor([[-0.7743]], device='cuda:0'), diff: 0.7969
image name [10255_resized], angle_normal : tensor([[0.0122]], device='cuda:0'), angle_fog : tensor([[-0.7995]], device='cuda:0'), diff: 0.8116
image name [10266_resized], angle_normal : tensor([[0.0159]], device='cuda:0'), angle_fog : tensor([[-0.7944]], device='cuda:0'), diff: 0.8103
