image name [1479424215880976321], angle_normal : tensor([[-1.5043]], device='cuda:0'), angle_fog : tensor([[-1.0901]], device='cuda:0'), diff: 0.4143
image name [1479424216880892024], angle_normal : tensor([[0.0246]], device='cuda:0'), angle_fog : tensor([[-0.0516]], device='cuda:0'), diff: 0.0761
image name [1479424217881013989], angle_normal : tensor([[-0.3327]], device='cuda:0'), angle_fog : tensor([[-0.2457]], device='cuda:0'), diff: 0.0870
image name [1479424218881180254], angle_normal : tensor([[0.8794]], device='cuda:0'), angle_fog : tensor([[0.6924]], device='cuda:0'), diff: 0.1870
image name [1479424219881387746], angle_normal : tensor([[0.1406]], device='cuda:0'), angle_fog : tensor([[0.1420]], device='cuda:0'), diff: 0.0013
image name [1479424220881546477], angle_normal : tensor([[0.0274]], device='cuda:0'), angle_fog : tensor([[-0.3665]], device='cuda:0'), diff: 0.3939
image name [1479424221881728672], angle_normal : tensor([[0.0408]], device='cuda:0'), angle_fog : tensor([[0.1183]], device='cuda:0'), diff: 0.0775
image name [1479424222881798957], angle_normal : tensor([[-0.2211]], device='cuda:0'), angle_fog : tensor([[-0.1227]], device='cuda:0'), diff: 0.0983
image name [1479424223882097667], angle_normal : tensor([[0.4837]], device='cuda:0'), angle_fog : tensor([[0.0969]], device='cuda:0'), diff: 0.3868
image name [1479424224882295852], angle_normal : tensor([[-0.7563]], device='cuda:0'), angle_fog : tensor([[-1.1443]], device='cuda:0'), diff: 0.3880
image name [1479424225882445701], angle_normal : tensor([[-1.0709]], device='cuda:0'), angle_fog : tensor([[-0.9769]], device='cuda:0'), diff: 0.0940
image name [1479424226882580843], angle_normal : tensor([[0.4457]], device='cuda:0'), angle_fog : tensor([[-0.4021]], device='cuda:0'), diff: 0.8477
image name [1479424227882732536], angle_normal : tensor([[-0.1273]], device='cuda:0'), angle_fog : tensor([[-0.6434]], device='cuda:0'), diff: 0.5160
image name [1479424228882938497], angle_normal : tensor([[-0.8895]], device='cuda:0'), angle_fog : tensor([[-0.1687]], device='cuda:0'), diff: 0.7208
image name [1479424229883088287], angle_normal : tensor([[-0.5878]], device='cuda:0'), angle_fog : tensor([[-0.1092]], device='cuda:0'), diff: 0.4787
image name [1479424230883291817], angle_normal : tensor([[-0.8145]], device='cuda:0'), angle_fog : tensor([[-0.3111]], device='cuda:0'), diff: 0.5034
image name [1479424231883477111], angle_normal : tensor([[-1.2900]], device='cuda:0'), angle_fog : tensor([[-1.1758]], device='cuda:0'), diff: 0.1142
image name [1479424232883665434], angle_normal : tensor([[-0.7362]], device='cuda:0'), angle_fog : tensor([[-0.6158]], device='cuda:0'), diff: 0.1204
image name [1479424233883785174], angle_normal : tensor([[-1.5424]], device='cuda:0'), angle_fog : tensor([[-1.8870]], device='cuda:0'), diff: 0.3446
image name [1479424234884123504], angle_normal : tensor([[-0.7186]], device='cuda:0'), angle_fog : tensor([[-2.1946]], device='cuda:0'), diff: 1.4760
image name [1479424235884190218], angle_normal : tensor([[0.1830]], device='cuda:0'), angle_fog : tensor([[-2.0779]], device='cuda:0'), diff: 2.2609
image name [1479424236884332861], angle_normal : tensor([[0.1146]], device='cuda:0'), angle_fog : tensor([[-0.7264]], device='cuda:0'), diff: 0.8410
image name [1479424237884867770], angle_normal : tensor([[0.1801]], device='cuda:0'), angle_fog : tensor([[-0.5448]], device='cuda:0'), diff: 0.7249
image name [1479424238884682130], angle_normal : tensor([[0.1394]], device='cuda:0'), angle_fog : tensor([[-1.0179]], device='cuda:0'), diff: 1.1573
image name [1479424239884860429], angle_normal : tensor([[0.0976]], device='cuda:0'), angle_fog : tensor([[-0.2784]], device='cuda:0'), diff: 0.3760
image name [1479424240885022589], angle_normal : tensor([[-0.1591]], device='cuda:0'), angle_fog : tensor([[0.2715]], device='cuda:0'), diff: 0.4306
image name [1479424241885175551], angle_normal : tensor([[-0.1862]], device='cuda:0'), angle_fog : tensor([[0.0689]], device='cuda:0'), diff: 0.2551
image name [1479424242885384509], angle_normal : tensor([[-0.1592]], device='cuda:0'), angle_fog : tensor([[0.2804]], device='cuda:0'), diff: 0.4396
image name [1479424243885574751], angle_normal : tensor([[-0.1488]], device='cuda:0'), angle_fog : tensor([[0.2065]], device='cuda:0'), diff: 0.3553
image name [1479424244885733172], angle_normal : tensor([[-0.0075]], device='cuda:0'), angle_fog : tensor([[0.4505]], device='cuda:0'), diff: 0.4580
image name [1479424245885999911], angle_normal : tensor([[-0.0735]], device='cuda:0'), angle_fog : tensor([[0.3150]], device='cuda:0'), diff: 0.3885
image name [1479424246886107522], angle_normal : tensor([[0.1120]], device='cuda:0'), angle_fog : tensor([[0.0344]], device='cuda:0'), diff: 0.0776
image name [1479424247886403636], angle_normal : tensor([[0.0999]], device='cuda:0'), angle_fog : tensor([[0.1107]], device='cuda:0'), diff: 0.0108
image name [1479424248886478830], angle_normal : tensor([[0.1030]], device='cuda:0'), angle_fog : tensor([[0.1187]], device='cuda:0'), diff: 0.0158
image name [1479424249886675175], angle_normal : tensor([[0.1564]], device='cuda:0'), angle_fog : tensor([[0.1355]], device='cuda:0'), diff: 0.0208
image name [1479424250886737788], angle_normal : tensor([[0.0922]], device='cuda:0'), angle_fog : tensor([[0.0886]], device='cuda:0'), diff: 0.0036
image name [1479424251886975030], angle_normal : tensor([[0.0681]], device='cuda:0'), angle_fog : tensor([[-0.0205]], device='cuda:0'), diff: 0.0886
image name [1479424252887174219], angle_normal : tensor([[0.0550]], device='cuda:0'), angle_fog : tensor([[0.0364]], device='cuda:0'), diff: 0.0186
