image name [10558_resized], angle_normal : tensor([[0.0226]], device='cuda:0'), angle_fog : tensor([[2.2602]], device='cuda:0'), diff: 2.2376
image name [10763_resized], angle_normal : tensor([[0.0252]], device='cuda:0'), angle_fog : tensor([[2.8857]], device='cuda:0'), diff: 2.8605
image name [10796_resized], angle_normal : tensor([[0.0124]], device='cuda:0'), angle_fog : tensor([[1.9300]], device='cuda:0'), diff: 1.9176
image name [11087_resized], angle_normal : tensor([[0.0162]], device='cuda:0'), angle_fog : tensor([[1.9106]], device='cuda:0'), diff: 1.8944
image name [11940_resized], angle_normal : tensor([[-0.2589]], device='cuda:0'), angle_fog : tensor([[1.4568]], device='cuda:0'), diff: 1.7157
image name [12026_resized], angle_normal : tensor([[0.0094]], device='cuda:0'), angle_fog : tensor([[2.8543]], device='cuda:0'), diff: 2.8450
image name [12242_resized], angle_normal : tensor([[0.3218]], device='cuda:0'), angle_fog : tensor([[2.9729]], device='cuda:0'), diff: 2.6511
image name [12394_resized], angle_normal : tensor([[0.3887]], device='cuda:0'), angle_fog : tensor([[2.9723]], device='cuda:0'), diff: 2.5836
image name [12631_resized], angle_normal : tensor([[-0.0079]], device='cuda:0'), angle_fog : tensor([[2.2954]], device='cuda:0'), diff: 2.3034
image name [12912_resized], angle_normal : tensor([[0.0964]], device='cuda:0'), angle_fog : tensor([[2.6443]], device='cuda:0'), diff: 2.5478
image name [12978_resized], angle_normal : tensor([[0.1371]], device='cuda:0'), angle_fog : tensor([[1.9711]], device='cuda:0'), diff: 1.8340
image name [13009_resized], angle_normal : tensor([[0.1031]], device='cuda:0'), angle_fog : tensor([[1.6675]], device='cuda:0'), diff: 1.5644
image name [13225_resized], angle_normal : tensor([[-0.0088]], device='cuda:0'), angle_fog : tensor([[-1.4901]], device='cuda:0'), diff: 1.4813
image name [13506_resized], angle_normal : tensor([[0.3384]], device='cuda:0'), angle_fog : tensor([[-1.6657]], device='cuda:0'), diff: 2.0041
image name [14662_resized], angle_normal : tensor([[-2.0191]], device='cuda:0'), angle_fog : tensor([[2.5102]], device='cuda:0'), diff: 4.5294
image name [14868_resized], angle_normal : tensor([[0.2771]], device='cuda:0'), angle_fog : tensor([[2.8976]], device='cuda:0'), diff: 2.6204
image name [15278_resized], angle_normal : tensor([[-0.0094]], device='cuda:0'), angle_fog : tensor([[2.5720]], device='cuda:0'), diff: 2.5815
image name [15829_resized], angle_normal : tensor([[-0.1739]], device='cuda:0'), angle_fog : tensor([[2.4669]], device='cuda:0'), diff: 2.6408
image name [17384_resized], angle_normal : tensor([[0.0803]], device='cuda:0'), angle_fog : tensor([[2.2328]], device='cuda:0'), diff: 2.1525
image name [17579_resized], angle_normal : tensor([[0.0032]], device='cuda:0'), angle_fog : tensor([[2.6249]], device='cuda:0'), diff: 2.6216
image name [17632_resized], angle_normal : tensor([[0.0243]], device='cuda:0'), angle_fog : tensor([[2.5663]], device='cuda:0'), diff: 2.5420
image name [18064_resized], angle_normal : tensor([[0.0569]], device='cuda:0'), angle_fog : tensor([[1.3076]], device='cuda:0'), diff: 1.2507
image name [18248_resized], angle_normal : tensor([[0.0512]], device='cuda:0'), angle_fog : tensor([[0.2464]], device='cuda:0'), diff: 0.1952
image name [18561_resized], angle_normal : tensor([[0.0964]], device='cuda:0'), angle_fog : tensor([[2.3012]], device='cuda:0'), diff: 2.2048
image name [18778_resized], angle_normal : tensor([[0.0058]], device='cuda:0'), angle_fog : tensor([[0.0155]], device='cuda:0'), diff: 0.0097
image name [18789_resized], angle_normal : tensor([[-0.0233]], device='cuda:0'), angle_fog : tensor([[-0.0322]], device='cuda:0'), diff: 0.0089
image name [1881_resized], angle_normal : tensor([[0.0067]], device='cuda:0'), angle_fog : tensor([[-2.2837]], device='cuda:0'), diff: 2.2904
image name [18983_resized], angle_normal : tensor([[0.0127]], device='cuda:0'), angle_fog : tensor([[2.5866]], device='cuda:0'), diff: 2.5739
image name [19155_resized], angle_normal : tensor([[0.0091]], device='cuda:0'), angle_fog : tensor([[2.6814]], device='cuda:0'), diff: 2.6723
image name [19544_resized], angle_normal : tensor([[0.3480]], device='cuda:0'), angle_fog : tensor([[2.8575]], device='cuda:0'), diff: 2.5094
image name [20212_resized], angle_normal : tensor([[-0.2290]], device='cuda:0'), angle_fog : tensor([[2.6505]], device='cuda:0'), diff: 2.8795
image name [21011_resized], angle_normal : tensor([[0.2590]], device='cuda:0'), angle_fog : tensor([[2.8029]], device='cuda:0'), diff: 2.5438
image name [21303_resized], angle_normal : tensor([[-0.0300]], device='cuda:0'), angle_fog : tensor([[1.7728]], device='cuda:0'), diff: 1.8028
image name [21488_resized], angle_normal : tensor([[0.0447]], device='cuda:0'), angle_fog : tensor([[2.3866]], device='cuda:0'), diff: 2.3419
image name [21693_resized], angle_normal : tensor([[0.1609]], device='cuda:0'), angle_fog : tensor([[2.5597]], device='cuda:0'), diff: 2.3987
image name [21822_resized], angle_normal : tensor([[0.1574]], device='cuda:0'), angle_fog : tensor([[2.9709]], device='cuda:0'), diff: 2.8136
image name [22719_resized], angle_normal : tensor([[-0.1935]], device='cuda:0'), angle_fog : tensor([[-0.1575]], device='cuda:0'), diff: 0.0360
image name [23723_resized], angle_normal : tensor([[-0.2088]], device='cuda:0'), angle_fog : tensor([[2.7161]], device='cuda:0'), diff: 2.9249
image name [23745_resized], angle_normal : tensor([[-0.1971]], device='cuda:0'), angle_fog : tensor([[2.8182]], device='cuda:0'), diff: 3.0153
image name [23897_resized], angle_normal : tensor([[0.1298]], device='cuda:0'), angle_fog : tensor([[2.8711]], device='cuda:0'), diff: 2.7413
image name [24025_resized], angle_normal : tensor([[0.0362]], device='cuda:0'), angle_fog : tensor([[2.6298]], device='cuda:0'), diff: 2.5936
image name [24047_resized], angle_normal : tensor([[0.0209]], device='cuda:0'), angle_fog : tensor([[2.5145]], device='cuda:0'), diff: 2.4936
image name [24122_resized], angle_normal : tensor([[-0.0897]], device='cuda:0'), angle_fog : tensor([[2.2220]], device='cuda:0'), diff: 2.3117
image name [24869_resized], angle_normal : tensor([[-0.0512]], device='cuda:0'), angle_fog : tensor([[2.6402]], device='cuda:0'), diff: 2.6914
image name [24900_resized], angle_normal : tensor([[-0.2659]], device='cuda:0'), angle_fog : tensor([[1.8035]], device='cuda:0'), diff: 2.0694
image name [25538_resized], angle_normal : tensor([[0.1057]], device='cuda:0'), angle_fog : tensor([[1.8721]], device='cuda:0'), diff: 1.7664
image name [25743_resized], angle_normal : tensor([[-0.9505]], device='cuda:0'), angle_fog : tensor([[-0.4030]], device='cuda:0'), diff: 0.5475
image name [25765_resized], angle_normal : tensor([[-0.8858]], device='cuda:0'), angle_fog : tensor([[-0.0086]], device='cuda:0'), diff: 0.8772
image name [26056_resized], angle_normal : tensor([[0.0971]], device='cuda:0'), angle_fog : tensor([[2.8465]], device='cuda:0'), diff: 2.7494
image name [26294_resized], angle_normal : tensor([[0.1074]], device='cuda:0'), angle_fog : tensor([[2.7592]], device='cuda:0'), diff: 2.6518
image name [26337_resized], angle_normal : tensor([[0.1641]], device='cuda:0'), angle_fog : tensor([[2.0036]], device='cuda:0'), diff: 1.8395
image name [27147_resized], angle_normal : tensor([[0.5305]], device='cuda:0'), angle_fog : tensor([[-1.4489]], device='cuda:0'), diff: 1.9794
image name [27493_resized], angle_normal : tensor([[0.4107]], device='cuda:0'), angle_fog : tensor([[-1.7759]], device='cuda:0'), diff: 2.1866
image name [27817_resized], angle_normal : tensor([[-0.2717]], device='cuda:0'), angle_fog : tensor([[2.4880]], device='cuda:0'), diff: 2.7597
image name [28021_resized], angle_normal : tensor([[0.6012]], device='cuda:0'), angle_fog : tensor([[0.0697]], device='cuda:0'), diff: 0.5315
image name [28032_resized], angle_normal : tensor([[0.7419]], device='cuda:0'), angle_fog : tensor([[-0.4535]], device='cuda:0'), diff: 1.1954
image name [28195_resized], angle_normal : tensor([[0.7065]], device='cuda:0'), angle_fog : tensor([[0.5965]], device='cuda:0'), diff: 0.1100
image name [28995_resized], angle_normal : tensor([[-0.0118]], device='cuda:0'), angle_fog : tensor([[-0.0104]], device='cuda:0'), diff: 0.0014
image name [292_resized], angle_normal : tensor([[2.9626]], device='cuda:0'), angle_fog : tensor([[2.9531]], device='cuda:0'), diff: 0.0095
image name [29631_resized], angle_normal : tensor([[0.7399]], device='cuda:0'), angle_fog : tensor([[2.7838]], device='cuda:0'), diff: 2.0438
image name [30192_resized], angle_normal : tensor([[-0.0414]], device='cuda:0'), angle_fog : tensor([[2.4568]], device='cuda:0'), diff: 2.4982
image name [30321_resized], angle_normal : tensor([[-0.0439]], device='cuda:0'), angle_fog : tensor([[0.1071]], device='cuda:0'), diff: 0.1510
image name [30408_resized], angle_normal : tensor([[0.5679]], device='cuda:0'), angle_fog : tensor([[2.1909]], device='cuda:0'), diff: 1.6230
image name [30570_resized], angle_normal : tensor([[0.6249]], device='cuda:0'), angle_fog : tensor([[2.7670]], device='cuda:0'), diff: 2.1421
image name [31759_resized], angle_normal : tensor([[-0.2262]], device='cuda:0'), angle_fog : tensor([[1.3859]], device='cuda:0'), diff: 1.6121
image name [32071_resized], angle_normal : tensor([[0.1544]], device='cuda:0'), angle_fog : tensor([[2.8289]], device='cuda:0'), diff: 2.6745
image name [32547_resized], angle_normal : tensor([[-0.3999]], device='cuda:0'), angle_fog : tensor([[-0.9077]], device='cuda:0'), diff: 0.5079
image name [33292_resized], angle_normal : tensor([[-0.0975]], device='cuda:0'), angle_fog : tensor([[2.2829]], device='cuda:0'), diff: 2.3804
image name [33432_resized], angle_normal : tensor([[0.5529]], device='cuda:0'), angle_fog : tensor([[2.7945]], device='cuda:0'), diff: 2.2415
image name [33487_resized], angle_normal : tensor([[1.1105]], device='cuda:0'), angle_fog : tensor([[2.8772]], device='cuda:0'), diff: 1.7667
image name [33562_resized], angle_normal : tensor([[0.0235]], device='cuda:0'), angle_fog : tensor([[2.2477]], device='cuda:0'), diff: 2.2243
image name [33595_resized], angle_normal : tensor([[-0.2163]], device='cuda:0'), angle_fog : tensor([[1.1645]], device='cuda:0'), diff: 1.3808
image name [33779_resized], angle_normal : tensor([[-0.3007]], device='cuda:0'), angle_fog : tensor([[1.6813]], device='cuda:0'), diff: 1.9820
image name [34091_resized], angle_normal : tensor([[0.5188]], device='cuda:0'), angle_fog : tensor([[-0.3919]], device='cuda:0'), diff: 0.9107
image name [34178_resized], angle_normal : tensor([[-0.3470]], device='cuda:0'), angle_fog : tensor([[-0.1623]], device='cuda:0'), diff: 0.1847
