image name [10558_resized], angle_normal : tensor([[0.0226]], device='cuda:0'), angle_fog : tensor([[2.4901]], device='cuda:0'), diff: 2.4675
image name [10763_resized], angle_normal : tensor([[0.0252]], device='cuda:0'), angle_fog : tensor([[2.8667]], device='cuda:0'), diff: 2.8415
image name [10796_resized], angle_normal : tensor([[0.0124]], device='cuda:0'), angle_fog : tensor([[2.7821]], device='cuda:0'), diff: 2.7697
image name [11087_resized], angle_normal : tensor([[0.0162]], device='cuda:0'), angle_fog : tensor([[2.8774]], device='cuda:0'), diff: 2.8612
image name [11940_resized], angle_normal : tensor([[-0.2589]], device='cuda:0'), angle_fog : tensor([[1.4858]], device='cuda:0'), diff: 1.7447
image name [12026_resized], angle_normal : tensor([[0.0094]], device='cuda:0'), angle_fog : tensor([[2.6536]], device='cuda:0'), diff: 2.6443
image name [12242_resized], angle_normal : tensor([[0.3218]], device='cuda:0'), angle_fog : tensor([[2.9384]], device='cuda:0'), diff: 2.6166
image name [12394_resized], angle_normal : tensor([[0.3887]], device='cuda:0'), angle_fog : tensor([[2.7738]], device='cuda:0'), diff: 2.3851
image name [12631_resized], angle_normal : tensor([[-0.0079]], device='cuda:0'), angle_fog : tensor([[-0.3274]], device='cuda:0'), diff: 0.3195
image name [12912_resized], angle_normal : tensor([[0.0964]], device='cuda:0'), angle_fog : tensor([[-0.5150]], device='cuda:0'), diff: 0.6115
image name [12978_resized], angle_normal : tensor([[0.1371]], device='cuda:0'), angle_fog : tensor([[1.5645]], device='cuda:0'), diff: 1.4273
image name [13009_resized], angle_normal : tensor([[0.1031]], device='cuda:0'), angle_fog : tensor([[2.0722]], device='cuda:0'), diff: 1.9691
image name [13225_resized], angle_normal : tensor([[-0.0088]], device='cuda:0'), angle_fog : tensor([[0.1651]], device='cuda:0'), diff: 0.1739
image name [13506_resized], angle_normal : tensor([[0.3384]], device='cuda:0'), angle_fog : tensor([[-0.7348]], device='cuda:0'), diff: 1.0732
image name [14662_resized], angle_normal : tensor([[-2.0191]], device='cuda:0'), angle_fog : tensor([[1.6870]], device='cuda:0'), diff: 3.7061
image name [14868_resized], angle_normal : tensor([[0.2771]], device='cuda:0'), angle_fog : tensor([[2.7466]], device='cuda:0'), diff: 2.4694
image name [15278_resized], angle_normal : tensor([[-0.0094]], device='cuda:0'), angle_fog : tensor([[2.6010]], device='cuda:0'), diff: 2.6105
image name [15829_resized], angle_normal : tensor([[-0.1739]], device='cuda:0'), angle_fog : tensor([[2.5673]], device='cuda:0'), diff: 2.7412
image name [17384_resized], angle_normal : tensor([[0.0803]], device='cuda:0'), angle_fog : tensor([[2.6501]], device='cuda:0'), diff: 2.5698
