image name [10558_resized], angle_normal : tensor([[0.0860]], device='cuda:0'), angle_fog : tensor([[1.3688]], device='cuda:0'), diff: 1.2828
image name [10763_resized], angle_normal : tensor([[0.1028]], device='cuda:0'), angle_fog : tensor([[1.7615]], device='cuda:0'), diff: 1.6587
image name [10796_resized], angle_normal : tensor([[-0.0617]], device='cuda:0'), angle_fog : tensor([[1.0524]], device='cuda:0'), diff: 1.1141
image name [11087_resized], angle_normal : tensor([[0.0318]], device='cuda:0'), angle_fog : tensor([[0.8923]], device='cuda:0'), diff: 0.8605
image name [11940_resized], angle_normal : tensor([[-0.2745]], device='cuda:0'), angle_fog : tensor([[1.8933]], device='cuda:0'), diff: 2.1678
image name [12026_resized], angle_normal : tensor([[0.0514]], device='cuda:0'), angle_fog : tensor([[2.6263]], device='cuda:0'), diff: 2.5748
image name [12242_resized], angle_normal : tensor([[0.7296]], device='cuda:0'), angle_fog : tensor([[2.8010]], device='cuda:0'), diff: 2.0713
image name [12394_resized], angle_normal : tensor([[0.5114]], device='cuda:0'), angle_fog : tensor([[2.7193]], device='cuda:0'), diff: 2.2079
image name [12631_resized], angle_normal : tensor([[0.0612]], device='cuda:0'), angle_fog : tensor([[0.8339]], device='cuda:0'), diff: 0.7727
image name [12912_resized], angle_normal : tensor([[0.1432]], device='cuda:0'), angle_fog : tensor([[0.4077]], device='cuda:0'), diff: 0.2644
image name [12978_resized], angle_normal : tensor([[0.1764]], device='cuda:0'), angle_fog : tensor([[2.1748]], device='cuda:0'), diff: 1.9984
image name [13009_resized], angle_normal : tensor([[0.1164]], device='cuda:0'), angle_fog : tensor([[2.2359]], device='cuda:0'), diff: 2.1195
image name [13225_resized], angle_normal : tensor([[-0.0150]], device='cuda:0'), angle_fog : tensor([[0.9632]], device='cuda:0'), diff: 0.9782
image name [13506_resized], angle_normal : tensor([[0.1083]], device='cuda:0'), angle_fog : tensor([[0.0855]], device='cuda:0'), diff: 0.0228
image name [14662_resized], angle_normal : tensor([[-1.5978]], device='cuda:0'), angle_fog : tensor([[2.0181]], device='cuda:0'), diff: 3.6159
image name [14868_resized], angle_normal : tensor([[0.2837]], device='cuda:0'), angle_fog : tensor([[2.7837]], device='cuda:0'), diff: 2.5000
image name [15278_resized], angle_normal : tensor([[0.0721]], device='cuda:0'), angle_fog : tensor([[2.5093]], device='cuda:0'), diff: 2.4372
image name [15829_resized], angle_normal : tensor([[-0.1816]], device='cuda:0'), angle_fog : tensor([[2.5320]], device='cuda:0'), diff: 2.7136
image name [17384_resized], angle_normal : tensor([[-0.0210]], device='cuda:0'), angle_fog : tensor([[2.4134]], device='cuda:0'), diff: 2.4344
image name [17579_resized], angle_normal : tensor([[0.0050]], device='cuda:0'), angle_fog : tensor([[2.5547]], device='cuda:0'), diff: 2.5497
image name [17632_resized], angle_normal : tensor([[0.0104]], device='cuda:0'), angle_fog : tensor([[2.4210]], device='cuda:0'), diff: 2.4106
image name [18064_resized], angle_normal : tensor([[0.1271]], device='cuda:0'), angle_fog : tensor([[1.2178]], device='cuda:0'), diff: 1.0908
