image name [10558_resized], angle_normal : tensor([[0.0860]], device='cuda:0'), angle_fog : tensor([[1.9425]], device='cuda:0'), diff: 1.8565
image name [10763_resized], angle_normal : tensor([[0.1028]], device='cuda:0'), angle_fog : tensor([[2.7109]], device='cuda:0'), diff: 2.6082
image name [10796_resized], angle_normal : tensor([[-0.0617]], device='cuda:0'), angle_fog : tensor([[2.1524]], device='cuda:0'), diff: 2.2141
image name [11087_resized], angle_normal : tensor([[0.0318]], device='cuda:0'), angle_fog : tensor([[1.7072]], device='cuda:0'), diff: 1.6754
image name [11940_resized], angle_normal : tensor([[-0.2745]], device='cuda:0'), angle_fog : tensor([[1.9620]], device='cuda:0'), diff: 2.2365
image name [12026_resized], angle_normal : tensor([[0.0514]], device='cuda:0'), angle_fog : tensor([[2.5235]], device='cuda:0'), diff: 2.4721
image name [12242_resized], angle_normal : tensor([[0.7296]], device='cuda:0'), angle_fog : tensor([[2.7635]], device='cuda:0'), diff: 2.0339
image name [12394_resized], angle_normal : tensor([[0.5114]], device='cuda:0'), angle_fog : tensor([[2.7880]], device='cuda:0'), diff: 2.2766
image name [12631_resized], angle_normal : tensor([[0.0612]], device='cuda:0'), angle_fog : tensor([[2.4529]], device='cuda:0'), diff: 2.3916
image name [12912_resized], angle_normal : tensor([[0.1432]], device='cuda:0'), angle_fog : tensor([[1.8344]], device='cuda:0'), diff: 1.6912
image name [12978_resized], angle_normal : tensor([[0.1764]], device='cuda:0'), angle_fog : tensor([[2.3713]], device='cuda:0'), diff: 2.1949
image name [13009_resized], angle_normal : tensor([[0.1164]], device='cuda:0'), angle_fog : tensor([[2.3329]], device='cuda:0'), diff: 2.2165
image name [13225_resized], angle_normal : tensor([[-0.0150]], device='cuda:0'), angle_fog : tensor([[2.1255]], device='cuda:0'), diff: 2.1405
image name [13506_resized], angle_normal : tensor([[0.1083]], device='cuda:0'), angle_fog : tensor([[1.8051]], device='cuda:0'), diff: 1.6968
image name [14662_resized], angle_normal : tensor([[-1.5978]], device='cuda:0'), angle_fog : tensor([[2.3380]], device='cuda:0'), diff: 3.9358
image name [14868_resized], angle_normal : tensor([[0.2837]], device='cuda:0'), angle_fog : tensor([[2.8012]], device='cuda:0'), diff: 2.5176
image name [15278_resized], angle_normal : tensor([[0.0721]], device='cuda:0'), angle_fog : tensor([[2.7469]], device='cuda:0'), diff: 2.6747
image name [15829_resized], angle_normal : tensor([[-0.1816]], device='cuda:0'), angle_fog : tensor([[2.5961]], device='cuda:0'), diff: 2.7777
image name [17384_resized], angle_normal : tensor([[-0.0210]], device='cuda:0'), angle_fog : tensor([[2.5054]], device='cuda:0'), diff: 2.5264
image name [17579_resized], angle_normal : tensor([[0.0050]], device='cuda:0'), angle_fog : tensor([[2.6242]], device='cuda:0'), diff: 2.6192
image name [17632_resized], angle_normal : tensor([[0.0104]], device='cuda:0'), angle_fog : tensor([[2.6053]], device='cuda:0'), diff: 2.5950
