image name [15278], angle_normal : tensor([[2.0114]], device='cuda:0'), angle_fog : tensor([[2.8662]], device='cuda:0'), diff: 0.8548
image name [18637], angle_normal : tensor([[2.0623]], device='cuda:0'), angle_fog : tensor([[-0.4948]], device='cuda:0'), diff: 2.5571
image name [13258], angle_normal : tensor([[0.0697]], device='cuda:0'), angle_fog : tensor([[2.2539]], device='cuda:0'), diff: 2.1842
image name [34675], angle_normal : tensor([[1.3666]], device='cuda:0'), angle_fog : tensor([[0.1078]], device='cuda:0'), diff: 1.2588
image name [16888], angle_normal : tensor([[1.7496]], device='cuda:0'), angle_fog : tensor([[0.8036]], device='cuda:0'), diff: 0.9460
image name [20764], angle_normal : tensor([[1.9296]], device='cuda:0'), angle_fog : tensor([[0.3105]], device='cuda:0'), diff: 1.6191
image name [28876], angle_normal : tensor([[2.7142]], device='cuda:0'), angle_fog : tensor([[0.5740]], device='cuda:0'), diff: 2.1402
image name [41846], angle_normal : tensor([[-0.6672]], device='cuda:0'), angle_fog : tensor([[2.9294]], device='cuda:0'), diff: 3.5966
image name [27990], angle_normal : tensor([[0.5334]], device='cuda:0'), angle_fog : tensor([[1.5647]], device='cuda:0'), diff: 1.0314
image name [42667], angle_normal : tensor([[0.4736]], device='cuda:0'), angle_fog : tensor([[2.9695]], device='cuda:0'), diff: 2.4959
image name [10114], angle_normal : tensor([[0.2402]], device='cuda:0'), angle_fog : tensor([[2.1977]], device='cuda:0'), diff: 1.9575
image name [32925], angle_normal : tensor([[0.0466]], device='cuda:0'), angle_fog : tensor([[2.1952]], device='cuda:0'), diff: 2.1486
image name [16899], angle_normal : tensor([[1.5424]], device='cuda:0'), angle_fog : tensor([[0.7954]], device='cuda:0'), diff: 0.7470
image name [25310], angle_normal : tensor([[0.9874]], device='cuda:0'), angle_fog : tensor([[0.2494]], device='cuda:0'), diff: 0.7379
image name [44968], angle_normal : tensor([[1.5165]], device='cuda:0'), angle_fog : tensor([[2.8156]], device='cuda:0'), diff: 1.2991
image name [4745], angle_normal : tensor([[1.6252]], device='cuda:0'), angle_fog : tensor([[0.0494]], device='cuda:0'), diff: 1.5759
image name [11292], angle_normal : tensor([[2.3125]], device='cuda:0'), angle_fog : tensor([[3.0050]], device='cuda:0'), diff: 0.6925
image name [20623], angle_normal : tensor([[-0.0674]], device='cuda:0'), angle_fog : tensor([[2.8702]], device='cuda:0'), diff: 2.9376
image name [41695], angle_normal : tensor([[-0.9136]], device='cuda:0'), angle_fog : tensor([[-0.2495]], device='cuda:0'), diff: 0.6640
image name [16141], angle_normal : tensor([[0.4651]], device='cuda:0'), angle_fog : tensor([[2.6589]], device='cuda:0'), diff: 2.1939
image name [33768], angle_normal : tensor([[1.8783]], device='cuda:0'), angle_fog : tensor([[-0.1085]], device='cuda:0'), diff: 1.9869
